model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
sentence-transformers__all-MiniLM-L6-v2,FremyCompany__BioLORD-2023,full,12,0.0061,-0.0189,0.0306,0.6214
Qwen__Qwen3-Embedding-0.6B,NeuML__pubmedbert-base-embeddings,full,12,0.064,-0.01,0.1279,0.0896
Qwen__Qwen3-Embedding-4B,NeuML__pubmedbert-base-embeddings,full,12,0.0935,0.0207,0.1673,0.0114
Snowflake__snowflake-arctic-embed-l-v2.0,NeuML__pubmedbert-base-embeddings,full,12,0.0265,-0.0184,0.0772,0.266
abhinand__MedEmbed-base-v0.1,NeuML__pubmedbert-base-embeddings,full,12,0.0407,0.0024,0.0846,0.0362
abhinand__MedEmbed-large-v0.1,NeuML__pubmedbert-base-embeddings,full,12,0.0383,0.005,0.0762,0.0194
abhinand__MedEmbed-small-v0.1,NeuML__pubmedbert-base-embeddings,full,12,0.0358,-0.0024,0.0752,0.0676
deepseek__deepseek-v4-flash,NeuML__pubmedbert-base-embeddings,full,12,0.0138,-0.077,0.0993,0.773
NeuML__pubmedbert-base-embeddings,google__gemini-3.1-flash-lite-preview,full,12,0.0137,-0.0978,0.1289,0.8132
NeuML__pubmedbert-base-embeddings,intfloat__multilingual-e5-small,full,12,0.0013,-0.0396,0.036,0.903
NeuML__pubmedbert-base-embeddings,ncbi__MedCPT,full,12,0.0361,0.0059,0.0695,0.02
sentence-transformers__all-MiniLM-L6-v2,NeuML__pubmedbert-base-embeddings,full,12,0.0277,0.0001,0.0571,0.048
Qwen__Qwen3-Embedding-4B,Qwen__Qwen3-Embedding-0.6B,full,12,0.0296,0.0072,0.0537,0.0076
Qwen__Qwen3-Embedding-0.6B,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0374,-0.037,0.1015,0.3098
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-base-v0.1,full,12,0.0233,-0.0401,0.0732,0.4178
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-large-v0.1,full,12,0.0256,-0.0329,0.0719,0.3454
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-small-v0.1,full,12,0.0281,-0.0295,0.0735,0.3006
Qwen__Qwen3-Embedding-0.6B,deepseek__deepseek-v4-flash,full,12,0.0501,-0.0552,0.1466,0.3212
Qwen__Qwen3-Embedding-0.6B,google__gemini-3.1-flash-lite-preview,full,12,0.0777,-0.0478,0.2037,0.2296
Qwen__Qwen3-Embedding-0.6B,intfloat__multilingual-e5-small,full,12,0.0653,0.008,0.1131,0.028
Qwen__Qwen3-Embedding-0.6B,ncbi__MedCPT,full,12,0.1001,0.0082,0.18,0.0324
Qwen__Qwen3-Embedding-0.6B,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0363,-0.0292,0.0874,0.248
Qwen__Qwen3-Embedding-4B,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.067,-0.0005,0.1336,0.0514
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-base-v0.1,full,12,0.0528,-0.0042,0.1071,0.0654
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-large-v0.1,full,12,0.0552,0.002,0.1089,0.0402
