model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
Linq-AI-Research__Linq-Embed-Mistral,BAAI__bge-base-en-v1.5,lifted,7,0.0546,0.0206,0.0955,0.0008
BAAI__bge-base-en-v1.5,NeuML__pubmedbert-base-embeddings,lifted,7,0.0612,0.0186,0.1131,0.0004
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-base-en-v1.5,lifted,7,0.0585,0.022,0.0985,0.0014
Qwen__Qwen3-Embedding-4B,BAAI__bge-base-en-v1.5,lifted,7,0.098,0.043,0.1614,0.0004
Qwen__Qwen3-Embedding-8B,BAAI__bge-base-en-v1.5,lifted,7,0.1015,0.0369,0.1662,0.0016
Salesforce__SFR-Embedding-2_R,BAAI__bge-base-en-v1.5,lifted,7,0.0963,0.0267,0.1614,0.0052
BAAI__bge-base-en-v1.5,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0118,-0.0454,0.0558,0.6264
abhinand__MedEmbed-base-v0.1,BAAI__bge-base-en-v1.5,lifted,7,0.0073,-0.0107,0.036,0.6708
abhinand__MedEmbed-large-v0.1,BAAI__bge-base-en-v1.5,lifted,7,0.0057,-0.0107,0.0241,0.5576
abhinand__MedEmbed-small-v0.1,BAAI__bge-base-en-v1.5,lifted,7,0.0113,-0.0052,0.028,0.1808
bflhc__Octen-Embedding-8B,BAAI__bge-base-en-v1.5,lifted,7,0.101,0.0393,0.1682,0.0004
codefuse-ai__F2LLM-v2-0.6B,BAAI__bge-base-en-v1.5,lifted,7,0.0698,0.0069,0.1324,0.0288
codefuse-ai__F2LLM-v2-1.7B,BAAI__bge-base-en-v1.5,lifted,7,0.0894,0.0185,0.1636,0.0122
codefuse-ai__F2LLM-v2-14B,BAAI__bge-base-en-v1.5,lifted,7,0.0832,0.0067,0.1608,0.0296
codefuse-ai__F2LLM-v2-4B,BAAI__bge-base-en-v1.5,lifted,7,0.0806,0.0117,0.1523,0.0202
codefuse-ai__F2LLM-v2-8B,BAAI__bge-base-en-v1.5,lifted,7,0.0829,0.0079,0.161,0.0284
BAAI__bge-base-en-v1.5,deepseek-r1,lifted,7,0.0527,-0.0261,0.1324,0.1966
BAAI__bge-base-en-v1.5,deepseek__deepseek-v4-flash,lifted,7,0.061,-0.0278,0.1509,0.1872
BAAI__bge-base-en-v1.5,glm-4.7,lifted,7,0.0197,-0.0773,0.1088,0.6552
google__embeddinggemma-300m,BAAI__bge-base-en-v1.5,lifted,7,0.0727,0.0202,0.1247,0.006
google__gemini-3-flash-preview,BAAI__bge-base-en-v1.5,lifted,7,0.0434,-0.0309,0.1237,0.2638
BAAI__bge-base-en-v1.5,google__gemini-3.1-flash-lite-preview,lifted,7,0.1118,-0.0299,0.2489,0.1238
google__gemini-3.1-pro-preview,BAAI__bge-base-en-v1.5,lifted,7,0.1146,0.0511,0.1857,0.0
BAAI__bge-base-en-v1.5,intfloat__e5-mistral-7b-instruct,lifted,7,0.1081,0.0454,0.1891,0.0
BAAI__bge-base-en-v1.5,intfloat__multilingual-e5-base,lifted,7,0.0304,-0.0054,0.0621,0.0948
BAAI__bge-base-en-v1.5,intfloat__multilingual-e5-large,lifted,7,0.0134,-0.0326,0.047,0.484
intfloat__multilingual-e5-large-instruct,BAAI__bge-base-en-v1.5,lifted,7,0.0344,0.0086,0.0648,0.0052
BAAI__bge-base-en-v1.5,intfloat__multilingual-e5-small,lifted,7,0.0295,0.0087,0.0483,0.0054
jinaai__jina-embeddings-v5-text-nano,BAAI__bge-base-en-v1.5,lifted,7,0.0966,0.0462,0.1647,0.0
jinaai__jina-embeddings-v5-text-small,BAAI__bge-base-en-v1.5,lifted,7,0.1012,0.0421,0.1705,0.0
kimi-k2.6,BAAI__bge-base-en-v1.5,lifted,7,0.03,-0.0242,0.102,0.399
BAAI__bge-base-en-v1.5,minimax-m2.7,lifted,7,0.0145,-0.073,0.0803,0.6548
BAAI__bge-base-en-v1.5,ncbi__MedCPT,lifted,7,0.1048,0.0351,0.1829,0.0
nvidia__llama-embed-nemotron-8b,BAAI__bge-base-en-v1.5,lifted,7,0.0934,0.038,0.1517,0.0
qwen3.6-27b,BAAI__bge-base-en-v1.5,lifted,7,0.0566,-0.0206,0.1383,0.1978
qwen3.6-35b-a3b,BAAI__bge-base-en-v1.5,lifted,7,0.0627,-0.0087,0.1421,0.1474
BAAI__bge-base-en-v1.5,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0164,-0.009,0.0417,0.2332
tencent__KaLM-Embedding-Gemma3-12B-2511,BAAI__bge-base-en-v1.5,lifted,7,0.0838,0.0353,0.1434,0.0
BAAI__bge-large-en-v1.5,BAAI__bge-m3,lifted,7,0.0158,-0.0261,0.045,0.4318
BAAI__bge-large-en-v1.5,BAAI__bge-small-en-v1.5,lifted,7,0.0187,0.0005,0.0369,0.0414
BAAI__bge-large-en-v1.5,FremyCompany__BioLORD-2023,lifted,7,0.021,0.0006,0.0421,0.0426
BAAI__bge-large-en-v1.5,GritLM__GritLM-7B,lifted,7,0.1633,0.0477,0.2939,0.0
Linq-AI-Research__Linq-Embed-Mistral,BAAI__bge-large-en-v1.5,lifted,7,0.0516,0.024,0.0852,0.0
BAAI__bge-large-en-v1.5,NeuML__pubmedbert-base-embeddings,lifted,7,0.0642,0.0184,0.1184,0.0002
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-large-en-v1.5,lifted,7,0.0555,0.027,0.0933,0.0
Qwen__Qwen3-Embedding-4B,BAAI__bge-large-en-v1.5,lifted,7,0.095,0.0476,0.1563,0.0
Qwen__Qwen3-Embedding-8B,BAAI__bge-large-en-v1.5,lifted,7,0.0984,0.0415,0.161,0.0006
Salesforce__SFR-Embedding-2_R,BAAI__bge-large-en-v1.5,lifted,7,0.0932,0.0281,0.1583,0.0074
BAAI__bge-large-en-v1.5,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0148,-0.0387,0.0612,0.5626
abhinand__MedEmbed-base-v0.1,BAAI__bge-large-en-v1.5,lifted,7,0.0043,-0.0121,0.0279,0.7354
abhinand__MedEmbed-large-v0.1,BAAI__bge-large-en-v1.5,lifted,7,0.0027,-0.0106,0.016,0.6938
abhinand__MedEmbed-small-v0.1,BAAI__bge-large-en-v1.5,lifted,7,0.0083,-0.008,0.0224,0.2954
bflhc__Octen-Embedding-8B,BAAI__bge-large-en-v1.5,lifted,7,0.0979,0.0431,0.1628,0.0
codefuse-ai__F2LLM-v2-0.6B,BAAI__bge-large-en-v1.5,lifted,7,0.0668,0.0073,0.1225,0.0264
codefuse-ai__F2LLM-v2-1.7B,BAAI__bge-large-en-v1.5,lifted,7,0.0864,0.0189,0.153,0.0118
codefuse-ai__F2LLM-v2-14B,BAAI__bge-large-en-v1.5,lifted,7,0.0802,0.007,0.1507,0.0276
codefuse-ai__F2LLM-v2-4B,BAAI__bge-large-en-v1.5,lifted,7,0.0776,0.0123,0.1416,0.019
codefuse-ai__F2LLM-v2-8B,BAAI__bge-large-en-v1.5,lifted,7,0.0799,0.0087,0.1512,0.0258
BAAI__bge-large-en-v1.5,deepseek-r1,lifted,7,0.0557,-0.0232,0.1405,0.1778
BAAI__bge-large-en-v1.5,deepseek__deepseek-v4-flash,lifted,7,0.064,-0.0239,0.1573,0.1732
BAAI__bge-large-en-v1.5,glm-4.7,lifted,7,0.0228,-0.0728,0.1155,0.605
google__embeddinggemma-300m,BAAI__bge-large-en-v1.5,lifted,7,0.0697,0.0236,0.116,0.001
google__gemini-3-flash-preview,BAAI__bge-large-en-v1.5,lifted,7,0.0404,-0.0406,0.1226,0.2744
BAAI__bge-large-en-v1.5,google__gemini-3.1-flash-lite-preview,lifted,7,0.1149,-0.0324,0.2551,0.1296
google__gemini-3.1-pro-preview,BAAI__bge-large-en-v1.5,lifted,7,0.1116,0.0533,0.176,0.0
BAAI__bge-large-en-v1.5,intfloat__e5-mistral-7b-instruct,lifted,7,0.1112,0.0506,0.1852,0.0
BAAI__bge-large-en-v1.5,intfloat__multilingual-e5-base,lifted,7,0.0334,-0.0025,0.0695,0.0674
BAAI__bge-large-en-v1.5,intfloat__multilingual-e5-large,lifted,7,0.0165,-0.0241,0.0491,0.3806
intfloat__multilingual-e5-large-instruct,BAAI__bge-large-en-v1.5,lifted,7,0.0313,0.0078,0.0573,0.0098
BAAI__bge-large-en-v1.5,intfloat__multilingual-e5-small,lifted,7,0.0325,0.0108,0.0565,0.0
jinaai__jina-embeddings-v5-text-nano,BAAI__bge-large-en-v1.5,lifted,7,0.0935,0.05,0.159,0.0
jinaai__jina-embeddings-v5-text-small,BAAI__bge-large-en-v1.5,lifted,7,0.0982,0.0489,0.1655,0.0
kimi-k2.6,BAAI__bge-large-en-v1.5,lifted,7,0.027,-0.0262,0.0985,0.4492
BAAI__bge-large-en-v1.5,minimax-m2.7,lifted,7,0.0175,-0.0699,0.0906,0.6382
BAAI__bge-large-en-v1.5,ncbi__MedCPT,lifted,7,0.1078,0.0331,0.1895,0.0
nvidia__llama-embed-nemotron-8b,BAAI__bge-large-en-v1.5,lifted,7,0.0904,0.0424,0.1439,0.0
qwen3.6-27b,BAAI__bge-large-en-v1.5,lifted,7,0.0536,-0.0227,0.1317,0.1978
qwen3.6-35b-a3b,BAAI__bge-large-en-v1.5,lifted,7,0.0597,-0.0079,0.1383,0.1402
BAAI__bge-large-en-v1.5,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0195,-0.0058,0.0435,0.134
tencent__KaLM-Embedding-Gemma3-12B-2511,BAAI__bge-large-en-v1.5,lifted,7,0.0807,0.0374,0.1371,0.0
BAAI__bge-m3,BAAI__bge-small-en-v1.5,lifted,7,0.0029,-0.0344,0.055,0.9328
BAAI__bge-m3,FremyCompany__BioLORD-2023,lifted,7,0.0052,-0.0274,0.0474,0.8484
BAAI__bge-m3,GritLM__GritLM-7B,lifted,7,0.1475,0.0069,0.3151,0.033
Linq-AI-Research__Linq-Embed-Mistral,BAAI__bge-m3,lifted,7,0.0674,0.0417,0.0952,0.0
BAAI__bge-m3,NeuML__pubmedbert-base-embeddings,lifted,7,0.0484,-0.0198,0.1237,0.1796
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-m3,lifted,7,0.0713,0.0169,0.1214,0.0124
Qwen__Qwen3-Embedding-4B,BAAI__bge-m3,lifted,7,0.1108,0.0535,0.1769,0.0
Qwen__Qwen3-Embedding-8B,BAAI__bge-m3,lifted,7,0.1142,0.0534,0.1808,0.0
Salesforce__SFR-Embedding-2_R,BAAI__bge-m3,lifted,7,0.109,0.0356,0.184,0.0014
Snowflake__snowflake-arctic-embed-l-v2.0,BAAI__bge-m3,lifted,7,0.001,-0.0301,0.0273,0.8886
abhinand__MedEmbed-base-v0.1,BAAI__bge-m3,lifted,7,0.0201,0.0003,0.0353,0.0464
abhinand__MedEmbed-large-v0.1,BAAI__bge-m3,lifted,7,0.0185,-0.0155,0.0468,0.264
abhinand__MedEmbed-small-v0.1,BAAI__bge-m3,lifted,7,0.0241,-0.0124,0.054,0.1918
bflhc__Octen-Embedding-8B,BAAI__bge-m3,lifted,7,0.1138,0.0614,0.1729,0.0
codefuse-ai__F2LLM-v2-0.6B,BAAI__bge-m3,lifted,7,0.0826,0.0212,0.1449,0.0072
codefuse-ai__F2LLM-v2-1.7B,BAAI__bge-m3,lifted,7,0.1022,0.0333,0.1769,0.0016
codefuse-ai__F2LLM-v2-14B,BAAI__bge-m3,lifted,7,0.096,0.0261,0.1681,0.0086
codefuse-ai__F2LLM-v2-4B,BAAI__bge-m3,lifted,7,0.0934,0.0295,0.1604,0.0038
codefuse-ai__F2LLM-v2-8B,BAAI__bge-m3,lifted,7,0.0957,0.0276,0.1669,0.006
BAAI__bge-m3,deepseek-r1,lifted,7,0.0399,-0.0337,0.1086,0.2736
BAAI__bge-m3,deepseek__deepseek-v4-flash,lifted,7,0.0482,-0.0364,0.1292,0.2586
BAAI__bge-m3,glm-4.7,lifted,7,0.0069,-0.082,0.079,0.8104
google__embeddinggemma-300m,BAAI__bge-m3,lifted,7,0.0855,0.0411,0.1309,0.0
google__gemini-3-flash-preview,BAAI__bge-m3,lifted,7,0.0562,-0.0609,0.1487,0.2962
BAAI__bge-m3,google__gemini-3.1-flash-lite-preview,lifted,7,0.0991,-0.0492,0.2378,0.1802
google__gemini-3.1-pro-preview,BAAI__bge-m3,lifted,7,0.1274,0.0867,0.1748,0.0
BAAI__bge-m3,intfloat__e5-mistral-7b-instruct,lifted,7,0.0954,0.0105,0.1912,0.0174
BAAI__bge-m3,intfloat__multilingual-e5-base,lifted,7,0.0176,-0.011,0.0463,0.2464
BAAI__bge-m3,intfloat__multilingual-e5-large,lifted,7,0.0006,-0.0194,0.0253,0.9832
intfloat__multilingual-e5-large-instruct,BAAI__bge-m3,lifted,7,0.0471,0.0169,0.0771,0.0006
BAAI__bge-m3,intfloat__multilingual-e5-small,lifted,7,0.0167,-0.0136,0.0507,0.3248
jinaai__jina-embeddings-v5-text-nano,BAAI__bge-m3,lifted,7,0.1094,0.0519,0.1816,0.0
jinaai__jina-embeddings-v5-text-small,BAAI__bge-m3,lifted,7,0.114,0.0589,0.1832,0.0
kimi-k2.6,BAAI__bge-m3,lifted,7,0.0428,-0.015,0.1169,0.187
BAAI__bge-m3,minimax-m2.7,lifted,7,0.0017,-0.0857,0.0782,0.9066
BAAI__bge-m3,ncbi__MedCPT,lifted,7,0.092,-0.0039,0.2085,0.0762
nvidia__llama-embed-nemotron-8b,BAAI__bge-m3,lifted,7,0.1062,0.0612,0.1586,0.0
qwen3.6-27b,BAAI__bge-m3,lifted,7,0.0694,0.0202,0.1341,0.0
qwen3.6-35b-a3b,BAAI__bge-m3,lifted,7,0.0755,0.0281,0.143,0.0
BAAI__bge-m3,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0036,-0.0411,0.0577,0.8686
tencent__KaLM-Embedding-Gemma3-12B-2511,BAAI__bge-m3,lifted,7,0.0966,0.0354,0.1633,0.0008
BAAI__bge-small-en-v1.5,FremyCompany__BioLORD-2023,lifted,7,0.0023,-0.0167,0.0206,0.7966
BAAI__bge-small-en-v1.5,GritLM__GritLM-7B,lifted,7,0.1446,0.0365,0.2679,0.0002
Linq-AI-Research__Linq-Embed-Mistral,BAAI__bge-small-en-v1.5,lifted,7,0.0703,0.0341,0.1153,0.0
BAAI__bge-small-en-v1.5,NeuML__pubmedbert-base-embeddings,lifted,7,0.0455,0.0026,0.0957,0.0296
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-small-en-v1.5,lifted,7,0.0741,0.0399,0.1112,0.0
Qwen__Qwen3-Embedding-4B,BAAI__bge-small-en-v1.5,lifted,7,0.1137,0.0601,0.1738,0.0
Qwen__Qwen3-Embedding-8B,BAAI__bge-small-en-v1.5,lifted,7,0.1171,0.0532,0.1803,0.0
Salesforce__SFR-Embedding-2_R,BAAI__bge-small-en-v1.5,lifted,7,0.1119,0.0458,0.1768,0.0006
Snowflake__snowflake-arctic-embed-l-v2.0,BAAI__bge-small-en-v1.5,lifted,7,0.0039,-0.0424,0.0648,0.9434
abhinand__MedEmbed-base-v0.1,BAAI__bge-small-en-v1.5,lifted,7,0.0229,-0.0028,0.0577,0.1104
abhinand__MedEmbed-large-v0.1,BAAI__bge-small-en-v1.5,lifted,7,0.0213,-0.0036,0.0478,0.101
abhinand__MedEmbed-small-v0.1,BAAI__bge-small-en-v1.5,lifted,7,0.027,0.0063,0.0496,0.005
bflhc__Octen-Embedding-8B,BAAI__bge-small-en-v1.5,lifted,7,0.1166,0.0577,0.1812,0.0
codefuse-ai__F2LLM-v2-0.6B,BAAI__bge-small-en-v1.5,lifted,7,0.0855,0.0197,0.1528,0.0122
codefuse-ai__F2LLM-v2-1.7B,BAAI__bge-small-en-v1.5,lifted,7,0.1051,0.031,0.1836,0.0048
codefuse-ai__F2LLM-v2-14B,BAAI__bge-small-en-v1.5,lifted,7,0.0988,0.0189,0.1837,0.0148
codefuse-ai__F2LLM-v2-4B,BAAI__bge-small-en-v1.5,lifted,7,0.0963,0.0241,0.1728,0.0092
codefuse-ai__F2LLM-v2-8B,BAAI__bge-small-en-v1.5,lifted,7,0.0986,0.0204,0.1826,0.0124
BAAI__bge-small-en-v1.5,deepseek-r1,lifted,7,0.037,-0.043,0.1187,0.385
BAAI__bge-small-en-v1.5,deepseek__deepseek-v4-flash,lifted,7,0.0453,-0.0441,0.1385,0.3374
BAAI__bge-small-en-v1.5,glm-4.7,lifted,7,0.0041,-0.0914,0.0921,0.9026
google__embeddinggemma-300m,BAAI__bge-small-en-v1.5,lifted,7,0.0884,0.0374,0.1402,0.0
google__gemini-3-flash-preview,BAAI__bge-small-en-v1.5,lifted,7,0.0591,-0.0083,0.1332,0.0834
BAAI__bge-small-en-v1.5,google__gemini-3.1-flash-lite-preview,lifted,7,0.0962,-0.0484,0.2351,0.186
google__gemini-3.1-pro-preview,BAAI__bge-small-en-v1.5,lifted,7,0.1303,0.0643,0.2051,0.0
BAAI__bge-small-en-v1.5,intfloat__e5-mistral-7b-instruct,lifted,7,0.0925,0.0365,0.167,0.0
BAAI__bge-small-en-v1.5,intfloat__multilingual-e5-base,lifted,7,0.0147,-0.0268,0.0515,0.4652
intfloat__multilingual-e5-large,BAAI__bge-small-en-v1.5,lifted,7,0.0022,-0.0404,0.0536,0.9626
intfloat__multilingual-e5-large-instruct,BAAI__bge-small-en-v1.5,lifted,7,0.05,0.0217,0.0843,0.0
BAAI__bge-small-en-v1.5,intfloat__multilingual-e5-small,lifted,7,0.0138,-0.0115,0.037,0.2754
jinaai__jina-embeddings-v5-text-nano,BAAI__bge-small-en-v1.5,lifted,7,0.1122,0.0628,0.1766,0.0
jinaai__jina-embeddings-v5-text-small,BAAI__bge-small-en-v1.5,lifted,7,0.1168,0.0587,0.1837,0.0
kimi-k2.6,BAAI__bge-small-en-v1.5,lifted,7,0.0456,-0.0076,0.1169,0.1154
minimax-m2.7,BAAI__bge-small-en-v1.5,lifted,7,0.0012,-0.0652,0.0839,0.9562
BAAI__bge-small-en-v1.5,ncbi__MedCPT,lifted,7,0.0891,0.022,0.167,0.0
nvidia__llama-embed-nemotron-8b,BAAI__bge-small-en-v1.5,lifted,7,0.1091,0.0532,0.1683,0.0
qwen3.6-27b,BAAI__bge-small-en-v1.5,lifted,7,0.0723,-0.0046,0.1571,0.096
qwen3.6-35b-a3b,BAAI__bge-small-en-v1.5,lifted,7,0.0784,0.0085,0.1517,0.0
BAAI__bge-small-en-v1.5,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0008,-0.0234,0.0246,0.9606
tencent__KaLM-Embedding-Gemma3-12B-2511,BAAI__bge-small-en-v1.5,lifted,7,0.0994,0.0517,0.1561,0.0
FremyCompany__BioLORD-2023,GritLM__GritLM-7B,lifted,7,0.1423,0.0236,0.2778,0.0204
Linq-AI-Research__Linq-Embed-Mistral,FremyCompany__BioLORD-2023,lifted,7,0.0726,0.0333,0.1118,0.0004
FremyCompany__BioLORD-2023,NeuML__pubmedbert-base-embeddings,lifted,7,0.0432,-0.0043,0.0977,0.0764
Qwen__Qwen3-Embedding-0.6B,FremyCompany__BioLORD-2023,lifted,7,0.0764,0.0308,0.1274,0.0014
Qwen__Qwen3-Embedding-4B,FremyCompany__BioLORD-2023,lifted,7,0.116,0.0524,0.1887,0.0
Qwen__Qwen3-Embedding-8B,FremyCompany__BioLORD-2023,lifted,7,0.1194,0.0469,0.194,0.0014
Salesforce__SFR-Embedding-2_R,FremyCompany__BioLORD-2023,lifted,7,0.1142,0.0404,0.188,0.0018
Snowflake__snowflake-arctic-embed-l-v2.0,FremyCompany__BioLORD-2023,lifted,7,0.0062,-0.0361,0.0581,0.8628
abhinand__MedEmbed-base-v0.1,FremyCompany__BioLORD-2023,lifted,7,0.0252,0.001,0.0521,0.0386
abhinand__MedEmbed-large-v0.1,FremyCompany__BioLORD-2023,lifted,7,0.0236,0.0034,0.0463,0.016
abhinand__MedEmbed-small-v0.1,FremyCompany__BioLORD-2023,lifted,7,0.0292,0.0099,0.0481,0.0032
bflhc__Octen-Embedding-8B,FremyCompany__BioLORD-2023,lifted,7,0.1189,0.0509,0.1923,0.0004
codefuse-ai__F2LLM-v2-0.6B,FremyCompany__BioLORD-2023,lifted,7,0.0878,0.0272,0.153,0.0038
codefuse-ai__F2LLM-v2-1.7B,FremyCompany__BioLORD-2023,lifted,7,0.1074,0.0365,0.1848,0.0008
codefuse-ai__F2LLM-v2-14B,FremyCompany__BioLORD-2023,lifted,7,0.1011,0.0264,0.1808,0.0062
codefuse-ai__F2LLM-v2-4B,FremyCompany__BioLORD-2023,lifted,7,0.0985,0.0301,0.1721,0.0034
codefuse-ai__F2LLM-v2-8B,FremyCompany__BioLORD-2023,lifted,7,0.1009,0.0271,0.1808,0.0052
FremyCompany__BioLORD-2023,deepseek-r1,lifted,7,0.0348,-0.0485,0.1102,0.3822
FremyCompany__BioLORD-2023,deepseek__deepseek-v4-flash,lifted,7,0.043,-0.0493,0.1311,0.3506
FremyCompany__BioLORD-2023,glm-4.7,lifted,7,0.0018,-0.099,0.0862,0.9066
google__embeddinggemma-300m,FremyCompany__BioLORD-2023,lifted,7,0.0906,0.0298,0.1485,0.002
google__gemini-3-flash-preview,FremyCompany__BioLORD-2023,lifted,7,0.0613,-0.0186,0.1483,0.1428
FremyCompany__BioLORD-2023,google__gemini-3.1-flash-lite-preview,lifted,7,0.0939,-0.0539,0.2286,0.1962
google__gemini-3.1-pro-preview,FremyCompany__BioLORD-2023,lifted,7,0.1325,0.0649,0.2064,0.0
FremyCompany__BioLORD-2023,intfloat__e5-mistral-7b-instruct,lifted,7,0.0902,0.0195,0.1797,0.0052
FremyCompany__BioLORD-2023,intfloat__multilingual-e5-base,lifted,7,0.0124,-0.0147,0.0321,0.333
intfloat__multilingual-e5-large,FremyCompany__BioLORD-2023,lifted,7,0.0045,-0.0256,0.0434,0.8492
intfloat__multilingual-e5-large-instruct,FremyCompany__BioLORD-2023,lifted,7,0.0523,0.0266,0.0793,0.0
FremyCompany__BioLORD-2023,intfloat__multilingual-e5-small,lifted,7,0.0116,-0.0013,0.0217,0.0652
jinaai__jina-embeddings-v5-text-nano,FremyCompany__BioLORD-2023,lifted,7,0.1145,0.0564,0.191,0.0
jinaai__jina-embeddings-v5-text-small,FremyCompany__BioLORD-2023,lifted,7,0.1191,0.0509,0.1979,0.0
kimi-k2.6,FremyCompany__BioLORD-2023,lifted,7,0.0479,-0.0095,0.128,0.138
minimax-m2.7,FremyCompany__BioLORD-2023,lifted,7,0.0035,-0.0589,0.0938,0.988
FremyCompany__BioLORD-2023,ncbi__MedCPT,lifted,7,0.0868,0.01,0.1708,0.0032
nvidia__llama-embed-nemotron-8b,FremyCompany__BioLORD-2023,lifted,7,0.1114,0.0485,0.1775,0.0
qwen3.6-27b,FremyCompany__BioLORD-2023,lifted,7,0.0746,-0.0031,0.1593,0.0798
qwen3.6-35b-a3b,FremyCompany__BioLORD-2023,lifted,7,0.0807,0.0063,0.168,0.0186
sentence-transformers__all-MiniLM-L6-v2,FremyCompany__BioLORD-2023,lifted,7,0.0015,-0.028,0.0312,0.9146
tencent__KaLM-Embedding-Gemma3-12B-2511,FremyCompany__BioLORD-2023,lifted,7,0.1017,0.044,0.1701,0.0
Linq-AI-Research__Linq-Embed-Mistral,GritLM__GritLM-7B,lifted,7,0.2149,0.0934,0.3654,0.0
NeuML__pubmedbert-base-embeddings,GritLM__GritLM-7B,lifted,7,0.0991,0.0125,0.1998,0.0208
Qwen__Qwen3-Embedding-0.6B,GritLM__GritLM-7B,lifted,7,0.2187,0.1154,0.3379,0.0
Qwen__Qwen3-Embedding-4B,GritLM__GritLM-7B,lifted,7,0.2583,0.1463,0.3872,0.0
Qwen__Qwen3-Embedding-8B,GritLM__GritLM-7B,lifted,7,0.2617,0.1467,0.3984,0.0
Salesforce__SFR-Embedding-2_R,GritLM__GritLM-7B,lifted,7,0.2565,0.1656,0.3685,0.0
Snowflake__snowflake-arctic-embed-l-v2.0,GritLM__GritLM-7B,lifted,7,0.1485,0.0208,0.3162,0.0304
abhinand__MedEmbed-base-v0.1,GritLM__GritLM-7B,lifted,7,0.1675,0.0431,0.3139,0.0
abhinand__MedEmbed-large-v0.1,GritLM__GritLM-7B,lifted,7,0.1659,0.0494,0.2999,0.0
abhinand__MedEmbed-small-v0.1,GritLM__GritLM-7B,lifted,7,0.1716,0.0629,0.3011,0.0
bflhc__Octen-Embedding-8B,GritLM__GritLM-7B,lifted,7,0.2612,0.1403,0.4108,0.0
codefuse-ai__F2LLM-v2-0.6B,GritLM__GritLM-7B,lifted,7,0.2301,0.1042,0.3813,0.0
codefuse-ai__F2LLM-v2-1.7B,GritLM__GritLM-7B,lifted,7,0.2497,0.1232,0.4,0.0
codefuse-ai__F2LLM-v2-14B,GritLM__GritLM-7B,lifted,7,0.2434,0.1071,0.4051,0.0
codefuse-ai__F2LLM-v2-4B,GritLM__GritLM-7B,lifted,7,0.2409,0.1135,0.3959,0.0
codefuse-ai__F2LLM-v2-8B,GritLM__GritLM-7B,lifted,7,0.2432,0.1089,0.4048,0.0
deepseek-r1,GritLM__GritLM-7B,lifted,7,0.1076,-0.0651,0.2837,0.2396
deepseek__deepseek-v4-flash,GritLM__GritLM-7B,lifted,7,0.0993,-0.0786,0.275,0.288
glm-4.7,GritLM__GritLM-7B,lifted,7,0.1405,-0.0319,0.3159,0.115
google__embeddinggemma-300m,GritLM__GritLM-7B,lifted,7,0.233,0.1208,0.3755,0.0
google__gemini-3-flash-preview,GritLM__GritLM-7B,lifted,7,0.2037,0.1129,0.2944,0.0
google__gemini-3.1-flash-lite-preview,GritLM__GritLM-7B,lifted,7,0.0484,-0.1625,0.2423,0.6846
google__gemini-3.1-pro-preview,GritLM__GritLM-7B,lifted,7,0.2749,0.138,0.4462,0.0
intfloat__e5-mistral-7b-instruct,GritLM__GritLM-7B,lifted,7,0.0521,-0.0383,0.1555,0.3014
intfloat__multilingual-e5-base,GritLM__GritLM-7B,lifted,7,0.1299,-0.0053,0.2854,0.0652
intfloat__multilingual-e5-large,GritLM__GritLM-7B,lifted,7,0.1468,0.0058,0.3076,0.0404
intfloat__multilingual-e5-large-instruct,GritLM__GritLM-7B,lifted,7,0.1946,0.0736,0.3373,0.0
intfloat__multilingual-e5-small,GritLM__GritLM-7B,lifted,7,0.1308,0.0091,0.2702,0.0386
jinaai__jina-embeddings-v5-text-nano,GritLM__GritLM-7B,lifted,7,0.2568,0.1388,0.3883,0.0
jinaai__jina-embeddings-v5-text-small,GritLM__GritLM-7B,lifted,7,0.2614,0.1388,0.3999,0.0
kimi-k2.6,GritLM__GritLM-7B,lifted,7,0.1902,0.062,0.3256,0.0026
minimax-m2.7,GritLM__GritLM-7B,lifted,7,0.1458,0.0007,0.2857,0.0486
ncbi__MedCPT,GritLM__GritLM-7B,lifted,7,0.0555,-0.0009,0.1168,0.0554
nvidia__llama-embed-nemotron-8b,GritLM__GritLM-7B,lifted,7,0.2537,0.1342,0.3973,0.0
qwen3.6-27b,GritLM__GritLM-7B,lifted,7,0.2169,0.0599,0.4001,0.0044
qwen3.6-35b-a3b,GritLM__GritLM-7B,lifted,7,0.223,0.0761,0.3892,0.0
sentence-transformers__all-MiniLM-L6-v2,GritLM__GritLM-7B,lifted,7,0.1438,0.0429,0.2602,0.0
tencent__KaLM-Embedding-Gemma3-12B-2511,GritLM__GritLM-7B,lifted,7,0.244,0.1425,0.3601,0.0
Linq-AI-Research__Linq-Embed-Mistral,NeuML__pubmedbert-base-embeddings,lifted,7,0.1158,0.0621,0.1749,0.0
Qwen__Qwen3-Embedding-0.6B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0039,-0.0404,0.0498,0.8754
